target,window,policy_feasible,future_triage_coverage,future_review_rate,future_legitimate_auto_decline_rate,all_constraints_satisfied
0.8,1,True,0.8382642998027613,0.1675999096861594,0.02207656996829303,False
0.8,2,True,0.7627118644067796,0.11205689771957553,0.01210857905707661,False
0.8,3,True,0.7294685990338164,0.13312260103860918,0.014028617445904624,False
0.8,4,True,0.8333333333333334,0.16071347934070895,0.020027945971122497,False
0.82,1,True,0.854043392504931,0.18688191465342063,0.02207656996829303,False
0.82,2,True,0.7972379158819837,0.1450666064574396,0.01210857905707661,False
0.82,3,True,0.7660455486542443,0.16107473470309325,0.014028617445904624,False
0.82,4,True,0.8466666666666667,0.18209528110182885,0.020027945971122497,False
0.85,1,False,,,,
0.85,2,True,0.8292529817953547,0.17579589072025287,0.01210857905707661,True
0.85,3,True,0.7915804002760525,0.19040415443666742,0.014028617445904624,False
0.85,4,True,0.8637037037037038,0.21115375931361482,0.020027945971122497,False
