relative_week,transaction_count,transaction_amount,fraud_rate,average_score,review_rate,decline_rate
23,3650,507749.0780000076,0.03753424657534247,0.17844232107739982,0.14904109589041095,0.029863013698630137
24,20206,2730973.7940000948,0.03667227556171434,0.17341599524946646,0.12852618034247254,0.035039097297832326
25,17681,2444816.644999968,0.04162660483004355,0.17559286886767278,0.13500367626265483,0.036932300209264184
26,2754,472199.81600000476,0.043209876543209874,0.1789686403572268,0.13253449527959332,0.04429920116194626
